"id","dpto","muni","URNGcia1999","URNGcia2003","URNGcia2007","URNGcia2011","URNGcia2015","FRG1999","FRG2003","FRG2007","FRG2015","fulldcha1999","fulldcha2003","fulldcha2007","fulldcha2011","fulldcha2015","fullizq1999","fullizq2003","fullizq2007","fullizq2011","fullizq2015","pop73","ind73","lit73","govt_vi","ceh_govt_vi","rebels_vi","rebels_vi_pre78","elev_sd","elev_mean","elev_max","forest","coffee_yield","roads_all","roads_paved","roads_paths","roads_paved_sh","area","dist_guate","dist_panam","govt_vi_l","ceh_govt_vi_l","rebels_vi_l","rebels_vi_pre78_l","lpop73","larea","ldist_guate","ldist_panam","roads_dirt_sh"
"1-1","Alta Verapaz","Chahal",0.384117393180837,0.0883868410622275,0.043336439888164,0.215707452553618,0.041605936133563,0.339231765213638,0.192231470471661,0.0358807082945014,0.00371008347687823,0.339231765213638,0.541418945699564,0.188723205964585,0.129455330967443,0.104279846296542,0.384117393180837,0.2294887039239,0.326654240447344,0.215707452553618,0.540744666755002,5539,0.945,0.066,0,0,0,0,123.533608772548,248.766398965709,808.628662109375,0.902198152277795,1744.5,142587.981443191,0,107883.166302749,0,288.108025793822,144.455779259647,143.275777563766,0,0,0,0,8.6195692580331,5.66333549936932,4.9798721178036,4.97172659003852,1
"1-10","Alta Verapaz","San Juan Chamelco",0.121063548934565,0.0206105886899395,0.00519280700067314,0.00919142134008259,0.00663552394097038,0.618140675089572,0.187942805616385,0.192807000673142,0.00360972502388789,0.618140675089572,0.525956460131393,0.428983556111165,0.338950313041162,0.429026435927381,0.121063548934565,0.171454334664434,0.235214924511972,0.00919142134008259,0.19365113069328,17529,0.965,0.126,40,0,0,0,310.475019527439,1797.98215194816,2525.94165039062,0.947743467933492,1312.33333333333,191709.676049267,8241.16985057124,175829.132316632,0.0429877616007935,231.642256023679,81.1794612763796,84.9486461203514,1.18843251624836,0,0,0,9.77161193122255,5.44519418166295,4.40890540802345,4.45374997976008,0.957012238399206
"1-11","Alta Verapaz","San Pedro Carcha",0.124075384318518,0.025209199515815,0.0184515818100451,0.0177141713370697,0.0279936618124198,0.564095967067601,0.158781116783327,0.193810458191332,0.00324454840413491,0.564095967067601,0.585179727382769,0.407139660573514,0.215872698158527,0.102316456651324,0.124075384318518,0.16199147413294,0.261558057075975,0.0177141713370697,0.439730627027843,57487,0.956,0.085,2,0,0,0,428.626842861866,1110.41752440086,2469.75732421875,0.876895750785626,1561.41176470588,837508.063414383,11294.2662328077,664924.195819097,0.0134855611858384,1342.26741039344,90.9311499150755,93.5072048417432,0.0341989659995038,0,0,0,10.9593141142674,7.20211556026973,4.52103992639175,4.54867607330501,0.986514438814162
"1-12","Alta Verapaz","Santa Cruz Verapaz",0.101409553641347,0.0128050253684465,0.016755000854847,0.0182408795602199,0.0033676905806715,0.600234925606891,0.149553032133366,0.222431184817918,0.0142871721604245,0.600234925606891,0.440202947571877,0.436313899811934,0.256746626686657,0.217777324216757,0.101409553641347,0.251510026576468,0.237305522311506,0.0182408795602199,0.187468108990713,5508,0.9,0.219,65,65,0,0,164.201444359482,1539.99772403299,2052.36962890625,0.91970802919708,NA,61383.4224872373,24497.5784846538,23757.1804821432,0.399091114376155,75.2927575978887,70.126817330565,72.4079033800939,2.5495245976913,2.5495245976913,0,0,8.61395685984855,4.32138394954127,4.26446444334067,4.296031605302,0.600908885623845
"1-13","Alta Verapaz","Fray Bartolome de las Casas",0.379060153547625,0.113715277777778,0.0467376645119286,0.0437289453226224,0.0690448035737748,0.335695604488315,0.13548344017094,0.245500627819374,0.00229930363946919,0.335695604488315,0.445646367521367,0.3641817420825,0.23921352682042,0.0920378399684667,0.379060153547625,0.312032585470085,0.353392549876761,0.0437289453226224,0.623505452634345,36910,0.891,0.115,562,379,0,0,196.939111081018,322.749432444793,1425.46765136719,0.861954459203036,1755.89473684211,642607.614443696,0,452672.983814354,0,1741.61612633363,111.190853398099,115.814803598278,2.78662881936746,2.4219863736593,0,0,10.516237796024,7.46256876937083,4.72020146924957,4.76058980549884,1
"1-14","Alta Verapaz","Senahu",0.28902803472321,0.123472744360902,0.00809441423628275,0.0109312301093123,0.012376673713883,0.420236231677814,0.140272556390977,0.0719228868017795,0.00753171247357294,0.420236231677814,0.285949248120301,0.20427582797825,0.24159402241594,0.112579281183932,0.28902803472321,0.315437030075188,0.368017795353435,0.0109312301093123,0.574304087385483,25349,0.967,0.09,71,55,0,0,492.473252823477,965.860027037125,2532.4794921875,0.91374936580416,1642.75,483413.731412526,0,382494.597890724,0,724.320373410587,91.2180964456628,96.0010953076856,1.33523773445197,1.15364036502801,0,0,10.1404945605095,6.58523379922014,4.52415638511749,4.57472227027144,1
"1-15","Alta Verapaz","Tamahu",0.0756773590781688,0.00531632110579479,0.000572519083969466,0.00578895137280847,0.00140413581822824,0.585175957645593,0.323763955342903,0.246946564885496,0.00165943323972428,0.585175957645593,0.509303561935141,0.334923664122137,0.20492887859742,0.150114883839673,0.0756773590781688,0.106858054226475,0.261068702290076,0.00578895137280847,0.447281082461067,4991,0.945,0.17,0,0,0,0,449.676004963497,1539.87581563104,2630.81396484375,0.967334035827186,1325,51408.5444994053,0,28066.4361262247,0,87.3356587098537,75.0143263782485,78.9062884535866,0,0,0,0,8.51539156946961,4.46975884118722,4.33092182749845,4.38085455372512,1
"1-16","Alta Verapaz","Tactic",0.0839345839345839,0.0124740124740125,0.00546956825322937,0.0130418105101649,0.0164424514200299,0.649110149110149,0.276160776160776,0.0693587804026533,0.00660844937455747,0.649110149110149,0.549203049203049,0.34760851856162,0.494438051400077,0.306348831720557,0.0839345839345839,0.195252945252945,0.302571860816944,0.0130418105101649,0.218472189442215,9369,0.874,0.254,3,0,0,0,216.890089518173,1723.64048913755,2449.70092773438,0.953020134228188,1340,95840.4356750682,18431.9079955701,54751.2241425754,0.192318699990687,123.349879055346,67.4196282797125,70.4546927665066,0.277786975423821,0,0,0,9.14516164595119,4.81502486247506,4.22565974661615,4.26906358124649,0.807681300009313
"1-17","Alta Verapaz","Tucuru",0.292400171747531,0.0103719599427754,NA,0.00546541417591802,0.00144072447859495,0.480463718334049,0.274499284692418,NA,0.00137211855104281,0.480463718334049,0.564020028612303,NA,0.503842869342442,0.32340834248079,0.292400171747531,0.14467095851216,NA,0.00546541417591802,0.437637211855104,13005,0.947,0.064,1,0,0,0,501.547476430551,936.805273945983,2424.53515625,0.854775403401657,1790.5,181066.428902648,0,143330.793752669,0,210.815245892243,76.5241160201782,81.0660576158694,0.0740805098114571,0,0,0,9.47308917788275,5.35098213801895,4.35058906240848,4.40752450363963,1
"1-2","Alta Verapaz","Chisec",0.308717466290373,0.0735217842323651,0.0194561650257853,0.0340319952599615,0.124393889678807,0.358889934148636,0.164808091286307,0.0607126113455227,0.0055780378431587,0.358889934148636,0.56042531120332,0.231247069854665,0.20311805658421,0.0962120383535674,0.308717466290373,0.169735477178423,0.475796999531177,0.0340319952599615,0.556600678114404,8728,0.88,0.091,329,271,0,0,132.625826410111,286.106252817575,861.719055175781,0.861051693404635,1750.84,492386.290112232,120844.190105786,145375.831434685,0.24542557851934,2056.61129376611,117.820967193116,108.256700424312,3.65570458925243,3.46728145392452,0,0,9.07429152751291,7.62881490425434,4.77761788288029,4.69370016321001,0.75457442148066
"1-3","Alta Verapaz","Coban",0.130279169649248,0.0538288192525192,0.0345694917333824,0.0269273698477238,0.0455542486568967,0.577831617201696,0.20098643649815,0.18217232600227,0.00548367612931939,0.577831617201696,0.636166503677877,0.467746388147603,0.423802120704776,0.309056807705757,0.130279169649248,0.244695777881713,0.22161896874329,0.0269273698477238,0.264329084146613,43505,0.82,0.246,872,629,0,0,449.042040741735,571.399236633686,2441.87963867188,0.733567139592965,1503.28571428571,662117.858006853,58054.7264322361,437190.616759354,0.0876803513607018,1722.17204251474,79.8647758909594,82.2897376241198,3.04659995157811,2.73813367237461,0,0,10.6806311530001,7.4513415885423,4.39277832617063,4.42232534379365,0.912319648639298
"1-6","Alta Verapaz","Lanquin",0.0932449233319519,0.0481964231585329,0.00295600765084333,0.00558867362146051,0.0028735632183908,0.475341898052217,0.270384965140952,0.0255607720396453,0.00212856534695615,0.475341898052217,0.535313731433768,0.128325508607199,0.272354694485842,0.286930608769689,0.0932449233319519,0.191876326159442,0.483741957920362,0.00558867362146051,0.268518518518519,8003,0.953,0.079,3,0,0,0,248.226275984047,741.338321261975,1407.13134765625,0.99404052443385,1767.33333333333,134005.731909623,0,98899.8429359941,0,231.157393552718,106.111802432412,110.683924813986,0.318351491502867,0,0,0,8.98757175036705,5.44309883587432,4.67387317149801,4.71567278178826,1
"1-7","Alta Verapaz","La Tinta",0.325946130242073,0.032538686741949,0.0154995226596282,0.0306222841682381,0.0380258340816468,0.374815319922718,0.112505227938101,0.200482956140843,0.0172687711542447,0.374815319922718,0.420995399414471,0.375077216824844,0.23022054603591,0.0699730607169994,0.325946130242073,0.220660811375993,0.253720447015219,0.0306222841682381,0.547972646266492,25261,0.93,0.137,194,11,0,0,726.198038198397,782.114088796707,3005.77392578125,0.779176973240387,1637.625,282578.616288636,0,213393.710249693,0,816.8268419607,76.9433372151386,80.8477039614599,2.16100109661078,0.361481079124811,0,0,10.1370169834028,6.7054271286522,4.35598211674011,4.40486025163944,1
"1-9","Alta Verapaz","San Cristobal Verapaz",0.123983468870817,0.0150391644908616,0.0125224955008998,0.00960412274537362,0.00865998176845944,0.630849220103986,0.301618798955614,0.314637072585483,0.00602653702015598,0.630849220103986,0.593211488250653,0.545815836832633,0.346568282970251,0.250835612275904,0.123983468870817,0.207310704960836,0.18498800239952,0.00960412274537362,0.283804314797934,19340,0.843,0.237,491,91,0,0,368.792783779103,1426.60623495138,2220.43090820312,0.905176260597947,1400,207072.819591531,6107.15800234573,129677.978937947,0.02949280361562,410.947688954301,71.7206014236547,67.8769712373465,3.27290168023638,1.74139101781914,0,0,9.86993076900728,6.01846592891232,4.28662472023732,4.23232188756946,0.97050719638438
"10-1","Jalapa","Jalapa",0,0.00177472787505916,0.077621074104034,0.0277265343208789,0.082571987422318,0.632485161896927,0.274885628648052,0.0118172545985299,0.00294634677758796,0.632485161896927,0.61941946679287,0.223296873351387,0.326165367989207,0.17705315803808,0,0.277054740495346,0.209228713115042,0.0277265343208789,0.259922256059818,45425,0.406,0.417,2,0,0,0,321.325264959797,1617.55408420309,2657.5849609375,0.612368856985091,1294.5,361700.549671442,63965.3105123504,170161.390041044,0.176846041761492,668.308539865273,30.9929635122021,16.7388811209104,0.0430869015388429,0,0,0,10.7238178932644,6.50474995292599,3.46551598837664,2.87575890391776,0.823153958238508
