"id","muni","dpto","elev_sd","elev_mean","elev_max","forest","coffee_yield","roads_all","roads_paved","roads_paths","roads_paved_sh","area","dist_guate","dist_panam"
"1-1","Chahal","Alta Verapaz",123.533608772548,248.766398965709,808.628662109375,0.902198152277795,1744.5,142587.981443191,0,107883.166302749,0,288.108025793822,144.455779259647,143.275777563766
"1-10","San Juan Chamelco","Alta Verapaz",310.475019527439,1797.98215194816,2525.94165039062,0.947743467933492,1312.33333333333,191709.676049267,8241.16985057124,175829.132316632,0.0429877616007935,231.642256023679,81.1794612763796,84.9486461203514
"1-11","San Pedro Carcha","Alta Verapaz",428.626842861866,1110.41752440086,2469.75732421875,0.876895750785626,1561.41176470588,837508.063414383,11294.2662328077,664924.195819097,0.0134855611858384,1342.26741039344,90.9311499150755,93.5072048417432
"1-12","Santa Cruz Verapaz","Alta Verapaz",164.201444359482,1539.99772403299,2052.36962890625,0.91970802919708,NA,61383.4224872373,24497.5784846538,23757.1804821432,0.399091114376155,75.2927575978887,70.126817330565,72.4079033800939
"1-13","Fray Bartolome de las Casas","Alta Verapaz",196.939111081018,322.749432444793,1425.46765136719,0.861954459203036,1755.89473684211,642607.614443696,0,452672.983814354,0,1741.61612633363,111.190853398099,115.814803598278
"1-14","Senahu","Alta Verapaz",492.473252823477,965.860027037125,2532.4794921875,0.91374936580416,1642.75,483413.731412526,0,382494.597890724,0,724.320373410587,91.2180964456628,96.0010953076856
"1-15","Tamahu","Alta Verapaz",449.676004963497,1539.87581563104,2630.81396484375,0.967334035827186,1325,51408.5444994053,0,28066.4361262247,0,87.3356587098537,75.0143263782485,78.9062884535866
"1-16","Tactic","Alta Verapaz",216.890089518173,1723.64048913755,2449.70092773438,0.953020134228188,1340,95840.4356750682,18431.9079955701,54751.2241425754,0.192318699990687,123.349879055346,67.4196282797125,70.4546927665066
"1-17","Tucuru","Alta Verapaz",501.547476430551,936.805273945983,2424.53515625,0.854775403401657,1790.5,181066.428902648,0,143330.793752669,0,210.815245892243,76.5241160201782,81.0660576158694
"1-2","Chisec","Alta Verapaz",132.625826410111,286.106252817575,861.719055175781,0.861051693404635,1750.84,492386.290112232,120844.190105786,145375.831434685,0.24542557851934,2056.61129376611,117.820967193116,108.256700424312
"1-3","Coban","Alta Verapaz",449.042040741735,571.399236633686,2441.87963867188,0.733567139592965,1503.28571428571,662117.858006853,58054.7264322361,437190.616759354,0.0876803513607018,1722.17204251474,79.8647758909594,82.2897376241198
"1-6","Lanquin","Alta Verapaz",248.226275984047,741.338321261975,1407.13134765625,0.99404052443385,1767.33333333333,134005.731909623,0,98899.8429359941,0,231.157393552718,106.111802432412,110.683924813986
