"n_mon","n_year","n_rgim","n_type","p_civ","p_arm","p_pac","p_pol","p_par","p_urn","c_tot","id"
3,1972,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"7-1"
3,1972,"Carlos Manuel Arana Osorio","kidnap",0,0,0,0,0,0,1,"13-15"
6,1972,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"15-5"
6,1972,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"4-3"
6,1972,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"13-5"
6,1972,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"17-12"
6,1972,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"7-4"
6,1972,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"7-4"
6,1972,"Carlos Manuel Arana Osorio","kidnap",0,0,0,0,0,0,1,"17-14"
1,1973,"Carlos Manuel Arana Osorio","kidnap",0,0,0,0,0,0,20,"9-3"
6,1972,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"17-2"
6,1972,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"15-5"
7,1972,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"7-4"
7,1972,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"11-15"
7,1972,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"20-18"
7,1972,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"17-12"
7,1972,"Carlos Manuel Arana Osorio","injured",0,0,0,0,0,0,1,"21-4"
7,1972,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"11-3"
10,1990,"Vinicio Cerezo Arevalo","killed",0,0,0,0,0,0,1,"6-1"
1,1973,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"6-1"
1,1973,"Carlos Manuel Arana Osorio","kidnap",0,0,0,0,0,0,6,"9-5"
1,1973,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"7-6"
1,1973,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"6-14"
1,1973,"Carlos Manuel Arana Osorio","kidnap",0,0,0,0,0,0,2,"15-1"
12,1967,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,2,"6-13"
12,1967,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"7-9"
12,1967,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"22-11"
12,1967,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"6-1"
12,1967,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"9-3"
10,1967,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"7-16"
10,1967,"Julio Cesar Mendez Montenegro","injured",0,0,0,0,0,0,1,"7-4"
10,1967,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,1,"6-14"
10,1967,"Julio Cesar Mendez Montenegro","killed",0,0,0,0,0,0,3,"14-15"
1,1972,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"13-6"
5,1975,"Kjell Eugenio Laugerud Garcia","killed",0,0,0,0,0,0,2,"13-15"
5,1975,"Kjell Eugenio Laugerud Garcia","killed",0,0,0,0,0,0,2,"6-1"
5,1975,"Kjell Eugenio Laugerud Garcia","killed",0,0,0,0,0,0,1,"6-1"
3,1975,"Kjell Eugenio Laugerud Garcia","killed",0,0,0,0,0,0,1,"7-4"
3,1975,"Kjell Eugenio Laugerud Garcia","killed",0,0,0,0,0,0,1,"17-21"
3,1975,"Kjell Eugenio Laugerud Garcia","killed",0,0,0,0,0,0,1,"7-1"
1,1976,"Kjell Eugenio Laugerud Garcia","killed",0,1,0,0,0,0,4,"1-3"
1,1976,"Kjell Eugenio Laugerud Garcia","injured",0,1,0,0,0,0,2,"1-3"
1,1973,"Carlos Manuel Arana Osorio","killed",0,0,0,0,0,0,1,"7-6"
